ORTHO,PHON,GPMATCH
accident,aksid@,(a-a.cc-ks.i-i.d-d.en-@.t-#)
accidenté,aksid@te,(a-a.cc-ks.i-i.d-d.en-@.t-t.é-e)
accidenté,aksid@te,(a-a.cc-ks.i-i.d-d.en-@.t-t.é-e)
accidentée,aksid@te,(a-a.cc-ks.i-i.d-d.en-@.t-t.é-e.e-#)
accidentée,aksid@te,(a-a.cc-ks.i-i.d-d.en-@.t-t.é-e.e-#)
accidentées,aksid@te,(a-a.cc-ks.i-i.d-d.en-@.t-t.é-e.e-#.s-#)
accidentés,aksid@te,(a-a.cc-ks.i-i.d-d.en-@.t-t.é-e.s-#)
accidentés,aksid@te,(a-a.cc-ks.i-i.d-d.en-@.t-t.é-e.s-#)
accidents,aksid@,(a-a.cc-ks.i-i.d-d.en-@.t-#.s-#)
acclama,aklama,(a-a.cc-k.l-l.a-a.m-m.a-a)
acclamation,aklamasj§,(a-a.cc-k.l-l.a-a.m-m.a-a.t-s.i-j.on-§)
acclamations,aklamasj§,(a-a.cc-k.l-l.a-a.m-m.a-a.t-s.i-j.on-§.s-#)
acclame,aklam,(a-a.cc-k.l-l.a-a.m-m.e-#)
acclamé,aklame,(a-a.cc-k.l-l.a-a.m-m.é-e)
acclament,aklam,(a-a.cc-k.l-l.a-a.m-m.e-#.n-#.t-#)
acclamer,aklame,(a-a.cc-k.l-l.a-a.m-m.er-e)
acclamèrent,aklamER,(a-a.cc-k.l-l.a-a.m-m.è-E.r-R.e-#.n-#.t-#)
acclimatait,aklimatE,(a-a.cc-k.l-l.i-i.m-m.a-a.t-t.ai-E.t-#)
acclimater,aklimate,(a-a.cc-k.l-l.i-i.m-m.a-a.t-t.er-e)
accolade,akolad,(a-a.cc-k.o-o.l-l.a-a.d-d.e-#)
accolées,akole,(a-a.cc-k.o-o.l-l.é-e.e-#.s-#)
accolés,akole,(a-a.cc-k.o-o.l-l.é-e.s-#)
accommoder,akomode,(a-a.cc-k.o-o.mm-m.o-o.d-d.er-e)
accommoderait,akomodRE,(a-a.cc-k.o-o.mm-m.o-o.d-d.e-#.r-R.ai-E.t-#)
accommodés,akomode,(a-a.cc-k.o-o.mm-m.o-o.d-d.é-e.s-#)
accommodez,akomode,(a-a.cc-k.o-o.mm-m.o-o.d-d.ez-e)
